2022.02.21,11:05,1896.51,1897.33,1896.51,1897.18,306
2022.02.21,11:10,1897.18,1898.38,1897.18,1897.28,392
2022.02.21,11:15,1897.23,1898.13,1897.23,1897.74,356
2022.02.21,11:20,1897.80,1897.83,1896.79,1896.80,334
2022.02.21,11:25,1896.68,1896.79,1895.18,1895.46,393
2022.02.21,11:30,1895.42,1895.68,1894.55,1895.28,381
2022.02.21,11:35,1895.29,1895.33,1894.56,1894.72,226
2022.02.21,11:40,1894.72,1895.09,1894.61,1895.06,308
2022.02.21,11:45,1895.07,1895.48,1894.89,1895.43,193
2022.02.21,11:50,1895.44,1896.22,1895.33,1895.81,266
2022.02.21,11:55,1895.82,1896.36,1895.80,1896.36,215
2022.02.21,12,1896.35,1897.30,1896.12,1897.25,350
2022.02.21,12:05,1897.25,1897.32,1896.62,1897.09,252
2022.02.21,12:10,1897.07,1897.19,1896.62,1897.03,262
2022.02.21,12:15,1897.01,1897.50,1896.85,1897.42,188
2022.02.21,12:20,1897.44,1897.52,1896.55,1896.60,265
2022.02.21,12:25,1896.58,1896.83,1896.39,1896.63,251
2022.02.21,12:30,1896.63,1896.64,1895.14,1896.09,465
2022.02.21,12:35,1896.10,1896.83,1896.04,1896.71,258
2022.02.21,12:40,1896.70,1897.23,1896.46,1897.02,276
2022.02.21,12:45,1897.02,1897.70,1896.77,1897.13,295
2022.02.21,12:50,1897.13,1897.76,1896.67,1897.60,333
2022.02.21,12:55,1897.61,1898.34,1897.33,1897.36,301
2022.02.21,13,1897.39,1897.59,1896.56,1896.82,315
2022.02.21,13:05,1896.83,1897.13,1896.40,1896.92,290
2022.02.21,13:10,1896.92,1897.64,1896.48,1896.56,288
2022.02.21,13:15,1896.60,1897.05,1896.12,1896.64,359
2022.02.21,13:20,1896.64,1897.09,1896.02,1897.09,315
2022.02.21,13:25,1897.09,1897.64,1896.59,1897.00,356
2022.02.21,13:30,1897.00,1897.29,1896.20,1896.26,280
2022.02.21,13:35,1896.30,1896.81,1895.88,1896.38,355
2022.02.21,13:40,1896.33,1898.66,1896.11,1897.72,579
2022.02.21,13:45,1897.74,1898.04,1896.64,1897.14,344
2022.02.21,13:50,1897.21,1897.47,1896.72,1896.90,329
2022.02.21,13:55,1896.94,1897.05,1894.34,1894.62,540
2022.02.21,14,1894.60,1894.82,1892.51,1893.09,530
2022.02.21,14:05,1892.94,1894.22,1892.74,1893.51,426
2022.02.21,14:10,1893.45,1894.10,1893.40,1893.77,313
2022.02.21,14:15,1893.80,1894.46,1893.72,1894.24,223
2022.02.21,14:20,1894.34,1895.01,1893.99,1894.81,240
2022.02.21,14:25,1894.81,1894.82,1893.96,1894.51,249
2022.02.21,14:30,1894.51,1895.50,1894.51,1895.14,292
2022.02.21,14:35,1895.14,1895.18,1893.21,1893.77,266
2022.02.21,14:40,1893.77,1896.74,1893.41,1895.08,488
2022.02.21,14:45,1894.98,1896.79,1894.21,1896.24,645
2022.02.21,14:50,1896.24,1897.27,1895.79,1896.25,530
2022.02.21,14:55,1896.25,1897.33,1895.91,1897.21,494
2022.02.21,15,1897.18,1897.32,1896.04,1896.65,707
2022.02.21,15:05,1896.65,1897.50,1896.44,1896.74,460
2022.02.21,15:10,1896.74,1896.86,1895.40,1896.69,362
2022.02.21,15:15,1896.75,1897.51,1896.50,1897.45,566
2022.02.21,15:20,1897.43,1897.50,1894.03,1894.85,601
2022.02.21,15:25,1894.83,1896.76,1894.83,1896.73,559
2022.02.21,15:30,1896.74,1897.06,1895.96,1896.76,476
2022.02.21,15:35,1896.74,1896.74,1895.12,1895.54,496
2022.02.21,15:40,1895.54,1895.54,1894.62,1895.38,365
2022.02.21,15:45,1895.36,1895.36,1894.54,1894.81,387
2022.02.21,15:50,1894.81,1895.82,1894.70,1895.60,416
2022.02.21,15:55,1895.58,1897.49,1894.26,1895.95,996
2022.02.21,16,1895.95,1895.98,1894.86,1895.45,550
2022.02.21,16:05,1895.48,1896.41,1894.60,1894.98,471
2022.02.21,16:10,1894.98,1895.60,1893.69,1894.21,599
